comment,date,support_number,user,hateful
为什么啊,3分钟前 来自网页    ,0,阿今天也好困_,0
军人才是英雄，一路走好,3分钟前 来自网页    ,0,一朵花钱girl,0
安息吧你的精神会被人们记得,3分钟前 来自网页    ,0,前纸鸭,0
最近总在微博热搜看到一些人离世，看到莫名的心烦，妹妹的，今年怎么这么多事发生。真的希望一切都能好好的。一切都要好好的，好好的,3分钟前 来自网页    ,0,Muriel-贞子,0
英雄,3分钟前 来自网页    ,0,美年达19527,0
太可惜了,3分钟前 来自网页    ,0,挠雪,0
[蠟燭][蠟燭][蠟燭][蠟燭][蠟燭]一路走好,3分钟前 来自网页    ,0,就爱HW_510,0
英雄一路走好,4分钟前 来自网页    ,0,在下秋月娃儿,0
一路走好,4分钟前 来自网页    ,0,40000qm,0
一路走好,4分钟前 来自网页    ,0,地西泮0212,0
看到没？这才是高危行业，看到没？某些人,4分钟前 来自网页    ,0,苜蓿草的天堂,0
请大家都保重身体，,4分钟前 来自网页    ,0,三土一丿竖弯钩,0
向高危职业人民英雄致敬,4分钟前 来自网页    ,0,卑微小贺,0
好难过,4分钟前 来自网页    ,0,倾北汐-,0
热搜这么快就被降了，渣浪,4分钟前 来自网页    ,0,清寒-_,0
一路走好,5分钟前 来自网页    ,0,Fayegreat,0
愿天堂安好     ,5分钟前 来自网页    ,0,zf鱼,0
一路走好,5分钟前 来自网页    ,0,莲叶莲子粥,0
愿在天堂的你安好,5分钟前 来自网页    ,0,MONDAY大夕,0
英雄,5分钟前 来自网页    ,0,小冉是个仙女,0
我的天哪我家乡的跟我差不多大的小哥哥,5分钟前 来自网页    ,0,一只小酥饼鸭,0
致敬！,5分钟前 来自网页    ,0,Maracuja西番莲,0
一路走好,5分钟前 来自网页    ,0,原来这是一个圈,0
愿天堂快快乐乐🙏没有病痛,5分钟前 来自网页    ,0,熊英豪大爷,0
致敬英雄！中国在世界上的门面,5分钟前 来自网页    ,0,小白的烤冷面呢,0
英雄一路走好！致敬！！！,5分钟前 来自网页    ,0,秋雨意未凉,0
人民英雄一路走好,5分钟前 来自网页    ,0,Persistent689,0
唉，才23岁。。。。,5分钟前 来自网页    ,0,猫猫酱259695,0
这才是高危职业好吗,5分钟前 来自网页    ,0,清晨的小迷鹿,0
致敬英雄！一路走好！维和军人平安,5分钟前 来自网页    ,0,asanmeily,0
玛德，这个热度怎么掉成这样了？,6分钟前 来自网页    ,0,Taurus咿呀,0
走好,6分钟前 来自网页    ,0,yi易06,0
给我们兴化人点赞,6分钟前 来自网页    ,0,in肆年,0
才23岁，可惜呀,6分钟前 来自网页    ,0,Don羽蒙,0
看到这些文字，身体一阵阵麻苏的，真悲伤！愿天堂没有痛苦🙏🙏🙏。这几天怎么了好人都走了，难过,6分钟前 来自网页    ,0,blue--止水,0
军人真的高危职业！英雄一路走好,6分钟前 来自网页    ,0,爱喝奶茶的小丸子,0
英雄一路走好！,6分钟前 来自网页    ,0,蜜Sunny,0
英雄一路走好,6分钟前 来自网页    ,0,爱而无畏未来可期,0
英雄,7分钟前 来自网页    ,0,新書聖,0
英雄走好,7分钟前 来自网页    ,0,川麦鲱鱼,0
英雄走好,7分钟前 来自网页    ,0,Vicki会瘦的,0
英雄，一路走好,7分钟前 来自网页    ,0,迷--Ann,0
比明星高尚，比明星辛苦，比明星高危，纪律比明星多，一年待遇比不上明星一天的报酬。凭什么,7分钟前 来自网页    ,0,liujl200704,0
四百多天病痛的折磨啊,7分钟前 来自网页    ,0,文科常驻NPC,0
一路走好,7分钟前 来自网页    ,0,你得不到的海绵宝宝,0
英雄走好,7分钟前 来自网页    ,0,哥特魔咒的黑吻,0
23岁正直大好的年华多可惜,7分钟前 来自网页    ,0,君若晚静,0
英雄，一路走好！多么年轻的生命啊,7分钟前 来自网页    ,0,爱棋文,0
英雄一路走好🙏,7分钟前 来自网页    ,0,盒子机器人能上王牌der,0
希望每一个军人都保护好自己,7分钟前 来自网页    ,0,Z馨Er,0
英雄一路走好,7分钟前 来自网页    ,0,其实吧我就是李华,0
不给吃预防疟疾药物吗,7分钟前 来自网页    ,0,菜鸟要早起,0
好年轻的生命，安息吧！,7分钟前 来自网页    ,0,feixue9707,0
那些个觉得自己高危的要点脸,7分钟前 来自网页    ,0,默默真的一句话都不想说,0
大家有能力的可以关心一下英雄的家人，他是家中独子，父母都很可怜！,7分钟前 来自网页    ,0,崔崔72868,0
才23啊，一路走好,8分钟前 来自网页    ,0,小郑小郑把楼扶正,0
才23岁，这么年轻,8分钟前 来自网页    ,0,阿天是一颗柠檬啊,0
英雄一路走好,8分钟前 来自网页    ,0,不想当裁缝的厨zi不是好司机,0
致敬！走好，不能为你做什么，但还是要说声谢谢！,8分钟前 来自网页    ,0,小草帽44371,0
这才是高危职业,8分钟前 来自网页    ,0,默默真的一句话都不想说,0
拜托了🙏军人都平平安安的,8分钟前 来自网页    ,0,weirddddd,0
一路走好！！！,8分钟前 来自网页    ,0,珊茉抹茶蜜,0
我们沙沟的英雄,8分钟前 来自网页    ,0,张春201604,0
致敬,8分钟前 来自网页    ,0,苏威ooO,0
一路走好🙏🙏🙏,8分钟前 来自网页    ,0,赞赞丶兔特曼,0
这么年轻，好痛心啊，致敬军人！,8分钟前 来自网页    ,0,沉迷小杨,0
致敬,8分钟前 来自网页    ,0,娜可露露娜塔莉亚,0
年轻的生命,8分钟前 来自网页    ,0,DevourRk,0
恶性疟？可以治疗的不是嘛，是更特殊的恶性疟吗？诶，祈祷,8分钟前 来自网页    ,0,乖巧pig,0
夜空中的星,8分钟前 来自网页    ,0,Lausrus,0
英雄一路走好,9分钟前 来自网页    ,0,自欺欺人abcde,0
一路走好,9分钟前 来自网页    ,0,世俗ggg,0
英雄.,9分钟前 来自网页    ,0,天真家的张小哥,0
一路走好,9分钟前 来自网页    ,0,全世界最好看的勋小花,0
战士一路走好！,9分钟前 来自网页    ,0,阿托Atto,0
这样的人 才值得上热搜,9分钟前 来自网页    ,0,COLORzFUL,0
英雄一路走好,9分钟前 来自网页    ,0,悠然的飞狐,0
天  才23岁  我心好痛,9分钟前 来自网页    ,0,哎哟喂我的梦阿,0
英雄走好,9分钟前 来自网页    ,0,清风呐_Lyy,0
你们才是为了人类的和平与自由甘愿付出一切的英雄…走好！,9分钟前 来自网页    ,0,弦音Polina粥,0
一声叹息，送别维和士兵付森,9分钟前 来自网页    ,1,鱼头芋头糕,0
一路走好英雄,9分钟前 来自网页    ,0,羚深时见鹿,0
英雄走好,9分钟前 来自网页    ,0,zzzz自律小号,0
哎。,9分钟前 来自网页    ,0,改吃素的肉食动物,0
英雄一路走好，另外替我们负重前行的人们，不论身在何方，好好保重自己。,10分钟前 来自网页    ,0,LeeT57531,0
我真的觉得军人福利多高都不过分，他们才是真正的高危职业🙏🙏🙏,10分钟前 来自网页    ,0,怜怜和羡羡的快乐厨房,0
��  请妥善安排好英雄的家人,10分钟前 来自网页    ,0,快乐酷盖201909,0
还那么年轻。🙏🙏,10分钟前 来自网页    ,0,一点都不Man的super漫,0
一路走好,10分钟前 来自网页    ,0,德云男粉胖哒熊,0
不愿看到🙏,10分钟前 来自网页    ,0,blue--止水,0
一路走好,10分钟前 来自网页    ,0,时间留不住倾雪,0
英雄一路走好,10分钟前 来自网页    ,0,橙凰鹤卿,0
一路走好 祖国和人民会永远记得你 我也会,10分钟前 来自网页    ,0,#NAME?,0
拍戏时高危职业，数钱，偷税漏税时，你们就不高危了,10分钟前 来自网页    ,2,闪亮水瓶座,0
致敬,11分钟前 来自网页    ,0,叁月怪阿,0
一路走好,11分钟前 来自网页    ,0,Goback1999,0
一路走好,11分钟前 来自网页    ,0,Hx-Elliot,0
才23岁啊，最美好的年华,11分钟前 来自网页    ,0,快乐女生冯十一,0
走好,11分钟前 来自网页    ,0,耿艾嘉,0
这才是高危职业，某些艺人，你见过他们发微博倡议工作时间八小时吗,11分钟前 来自网页    ,0,备注刘庭玮,0
才23岁 多么好的年纪 🙏🙏🙏,11分钟前 来自网页    ,0,____斤欠,0
这真的是我们高危职业的人民英雄，一路走好,11分钟前 来自网页    ,0,伦敦1021,0
英雄，一路走好！🙏🙏🙏,11分钟前 来自网页    ,0,鳳麟fl,0
好难过，英雄走好,11分钟前 来自网页    ,0,Myme_鱼,0
英雄一路走好,11分钟前 来自网页    ,0,周雨荷兰弟,0
太年轻了 太可惜了,11分钟前 来自网页    ,0,光吃不胖的祖哩祖哇,0
致敬英雄，一路走好,12分钟前 来自网页    ,0,拂羽,0
这才是高危职业，麻烦宋佳过来看看🙏🙏辛苦你了英雄,12分钟前 来自网页    ,0,3Lo3丶,0
一路走好,12分钟前 来自网页    ,0,ikun的小鑫鑫,0
我好难过，他的爸妈该怎么办,12分钟前 来自网页    ,1,废誓,0
英雄走好,12分钟前 来自网页    ,0,枯了啊,0
向英雄致敬，一路走好,12分钟前 来自网页    ,0,蓝色的梦201205,0
这才是高危职业,12分钟前 来自网页    ,0,低智商侦探_657_448_150,0
一路走好🙏🙏🙏,12分钟前 来自网页    ,0,啃冰山的熊,0
英雄一路走好,12分钟前 来自网页    ,0,Achieve618,0
英雄一路走好,12分钟前 来自网页    ,0,儒雅的板栗先生,0
一路走好,12分钟前 来自网页    ,0,JinRyeo_16na,0
太年轻了，才23岁,12分钟前 来自网页    ,0,慈成群措,0
一路走好,12分钟前 来自网页    ,0,岁月带不走的婉菇凉,0
这才是高危职业,12分钟前 来自网页    ,1,袁丽丽丽萍_,0
这才是英雄，这才是高危职业，这么年轻真的好惋惜，一路走好英雄,13分钟前 来自网页    ,1,漫漫吞慢吞吞,0
缅怀烈士！,13分钟前 来自网页    ,0,一条鱼1212,0
英雄,13分钟前 来自网页    ,0,华丽的钻石,0
想到去年在非洲的时候自己也是每天长袖长裤帽子出门，士兵们真的很不容易吧,13分钟前 来自网页    ,0,想偷阿南的M,0
致敬英雄！！！一路走好！！,13分钟前 来自网页    ,0,穆易语姗,0
英雄走好,13分钟前 来自网页    ,0,柠檬柠檬柠檬茶lemontea,0
走好,13分钟前 来自网页    ,0,l_uuyic,0
一路走好！,14分钟前 来自网页    ,0,悟兀几,0
致敬！,14分钟前 来自网页    ,0,执着与相思,0
感谢你为祖国的付出,14分钟前 来自网页    ,0,Ari-Maureen,0
英雄一路走好！,14分钟前 来自网页    ,0,叁分僥倖33277,0
这么优秀的战士，才23岁，真可惜！,14分钟前 来自网页    ,0,蓝胖子coco789,0
英雄一路走好,14分钟前 来自网页    ,0,罐装哥斯拉,0
军人保家卫国最辛苦最危险,14分钟前 来自网页    ,0,H君-吖,0
还那么年轻,14分钟前 来自网页    ,0,小车车爱吃鸡蛋饼,0
辛苦了，走好,14分钟前 来自网页    ,0,周深今天火了没,0
致敬英雄,14分钟前 来自网页    ,0,老衲不犀利,0
一路走好！,14分钟前 来自网页    ,0,梳个哪吒头嘿,0
他才23岁啊，还这么年轻,14分钟前 来自网页    ,0,山本_y,0
英雄一路走好！,14分钟前 来自网页    ,0,棉花棠的麻麻,0
感谢负重前行，一路走好,14分钟前 来自网页    ,0,心碎的咸菜,0
这才是高危的职业！演员是所有职业里最不危险且报酬最高的职业！,14分钟前 来自网页    ,0,破小孩afortunado,0
感恩感谢所有奋斗在一线的军人，,15分钟前 来自网页    ,0,王-Lucky99,0
希望天堂没有痛苦，也希望你快乐,15分钟前 来自网页    ,0,000韩,0
英雄一路走好,15分钟前 来自网页    ,0,阿呆怎么这么懒,0
我就是兴化人 看到这个信息真的很难过,15分钟前 来自网页    ,1,爱上下雨的女孩,0
想躺家里就把钱赚了是吗 吃好喝好还得赚几百几千万 以为自己是谁啊 拯救地球了？人家23岁就为国捐躯了 你们还想为自己谋福利 不想干演员别干啊 拍几部好戏啊？ 都演的都什么玩意自己心里没数啊真他妈的不要脸//,15分钟前 来自网页    ,0,巧克力碎花裙,0
今天四星连珠 是天堂对你到来的欢迎  也是对人间的弥补  ,15分钟前 来自网页    ,0,星辰圆圆,0
人居一世间，忽若风吹尘。走好,15分钟前 来自网页    ,0,弦之9,0
23岁,15分钟前 来自网页    ,0,只有一天的鹿,0
这才是高危职业！这才是人民的骄傲！,15分钟前 来自网页    ,0,破小孩afortunado,0
才23岁啊，和我一样的年纪。还这么年轻，未来还这么长,15分钟前 来自网页    ,0,supersansa,0
才23岁,15分钟前 来自网页    ,0,温暖家的温小柔,0
明星拿着高额回报，优越的医疗条件 、出行的便利、高质量的生活.....万人的瞩目！而一般人拼了命挣的钱都不及你们随手一挥！高危人群真的是你们吗？无情！,16分钟前 来自网页    ,0,不贰情话,0
英雄走好,16分钟前 来自网页    ,0,牛她MA,0
一路走好🙏,16分钟前 来自网页    ,0,此用户已注销了哦,0
走好,16分钟前 来自网页    ,0,kellyc858,0
一路走好,16分钟前 来自网页    ,0,leelovewey,0
太年轻！！！,16分钟前 来自网页    ,0,如隔三秋兮200412,0
英雄一路走好！,16分钟前 来自网页    ,0,大米咕噜噜,0
致敬英雄，一路走好,16分钟前 来自网页    ,0,你是谁家的酸奶泡芙呀,0
英雄一路走好！,16分钟前 来自网页    ,0,不懂数学的姑娘,0
一路走好,16分钟前 来自网页    ,0,言大美人的阿衡,0
比我小太多了，弟弟走好,16分钟前 来自网页    ,0,Cherish月牙,0
一路走好,17分钟前 来自网页    ,0,nhhhd0714,0
那些个明星真的说得出口么？这个才是我们真正应该去关注的,17分钟前 来自网页    ,0,小鱼儿家的佳佳,0
一路走好,17分钟前 来自网页    ,1,代表月亮吃了你_,0
心中的英雄🙏🙏🙏,17分钟前 来自网页    ,0,遗世愿安好,0
安好,17分钟前 来自网页    ,0,愉此依生,0
天 才二十三呀 正是大好年华时光,17分钟前 来自网页    ,0,俊吾路,0
泪目,17分钟前 来自网页    ,0,sncallingyou,0
英雄走好,17分钟前 来自网页    ,0,gyroscope菲菲,0
高危职业的英雄，走,18分钟前 来自网页    ,0,Dear_晴天,0
老乡好走  愿天堂没有病痛,18分钟前 来自网页    ,0,Caroline_9802,0
致敬,18分钟前 来自网页    ,0,酷盖奶盖我的最爱,0
不知道应该说什么，说什么都是苍白的，感谢英雄,18分钟前 来自网页    ,0,哎呦哎呦哎呦喂233,0
男朋友去南苏丹，前一段时间也得了疟疾，很担心他,18分钟前 来自网页    ,0,今年我是巧巧老师,0
致敬,18分钟前 来自网页    ,0,渠县李小伟,0
一路走好,18分钟前 来自网页    ,0,只因為我當時太花心,0
天上又多了一颗耀眼的星星,18分钟前 来自网页    ,0,凋零零落,0
会记得你的付出，感谢，也希望他的家人好好的。,18分钟前 来自网页    ,0,诗酒趁年华JL,0
